E235  Dispatch Call 0 [Event: 235],
fbpa__throughput.avg.pct_of_peak_sustained_elapsed,5.187782
l1tex__throughput.avg.pct_of_peak_sustained_elapsed,90.338707
lts__throughput.avg.pct_of_peak_sustained_elapsed,7.688928
pda__throughput.avg.pct_of_peak_sustained_elapsed,0
pes__throughput.avg.pct_of_peak_sustained_elapsed,0
raster__throughput.avg.pct_of_peak_sustained_elapsed,0
sm__throughput.avg.pct_of_peak_sustained_elapsed,59.059097
sm__throughput.avg.pct_of_peak_sustained_active,60.82032
vaf__throughput.avg.pct_of_peak_sustained_elapsed,0
vpc__throughput.avg.pct_of_peak_sustained_elapsed,0.005357
zrop__throughput.avg.pct_of_peak_sustained_elapsed,0.001794
l1tex__t_sector_hit_rate.pct,91.679436
lts__t_sector_hit_rate.pct,74.882339
pda__prim_count_and_per_draw_call,0.0 / 0.0
sm__fragment_count_and_per_draw_call,0.0 / 0.0
sm__cs_thread_count_and_per_dispatch,2073600.0 / 2073600.0
sm__cs_instructions_per_dispatch_and_thread,14836924.5 / 7.2
sm__active_rate,97.104218
sm__active_cycles_min_max_ratio,0.598339
vram__throughput.avg.pct_of_peak_sustained_elapsed,6.319605
gpu__sol_full_pipeline,TEX 90.3% | SM 59.1% | L2 7.7% | VRAM 6.3% | VPC 0.0%
